date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,547197.0,Ramji Sabudana Potato Papad,1396711.0,79.0,110.0,True,3.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/11b92b98-8fbc-4475-98cb-ad2f5049c2e8.png,,Ramji
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,546158.0,Ramji Sabudana Papad,814846.0,79.0,110.0,True,4.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/e945c4b8-a40b-4c10-b200-e3f0e4b59543.png,,Ramji
2025-07-25,Munchies,1237,Papad & Fryums,80,30320.0,500883.0,Ramji Wheel Fryums,676477.0,58.0,80.0,True,2.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/a17b96c4-789f-4eb2-8f10-23546f413fa7.png,,Ramji
2025-07-25,Munchies,1237,Chips & Crisps,940,,,,,,,False,,False,,,
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,11150.0,Uncle Chipps Spicy Treat Flavour Potato Chips,527890.0,20.0,20.0,True,50.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/871988d1-1b77-476f-8dec-922930ad2c4b.png,,Uncle Chipps
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,432775.0,Lay's India's Magic Masala Potato Chips,438085.0,30.0,30.0,True,42.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/7806dadc-a3c9-4cec-869f-90879c1f345c.png,,Lay's
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,67372.0,Kurkure Masala Munch Crisps,1910366.0,20.0,20.0,True,50.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/c33863d9-3501-4fbc-986f-d0cd1000158d.png,,Kurkure
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,432774.0,Lay's American Style Cream & Onion Potato Chips,561608.0,30.0,30.0,True,44.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/8e3a3fc7-66cf-403f-ae22-a5ccb07103c7.png,,Lay's
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,57435.0,Lay's Classic Salted Potato Chips,561720.0,20.0,20.0,True,50.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/f55e87f5-ecab-4d91-aca9-62883084374d.png,,Lay's
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,289152.0,Lay's West Indies Hot n Sweet Chilli Flavour Potato Chips,782262.0,20.0,20.0,True,39.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/b4992782-f47e-4fda-a0c6-4c9e422b9654.png,,Lay's
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,574.0,Lay's Chile Limon Flavour Potato Chips,682288.0,20.0,20.0,True,50.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/0293e130-cbdc-402a-af48-bdd7da6e5462.png,,Lay's
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,223819.0,Lay's Crispz Herb & Onion Potato Chips,816470.0,20.0,20.0,True,50.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/e4a25547-0e12-4299-a2ab-3ee7d7ffbe66.png,,Lay's
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,367837.0,Kurkure Puffcorn Yummy Cheese Puffs,1910340.0,20.0,20.0,True,10.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/38f3be41-8612-44c0-9e54-69abedfb07a5.png,,Kurkure
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,577.0,Lay's Spanish Tomato Tango Potato Chips,438083.0,20.0,20.0,True,14.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/c586c4d2-5b80-49f8-bd16-10c9c647c958.png,,Lay's
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,116824.0,Kurkure Chilli Chatka Crisps,1910333.0,20.0,20.0,True,41.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/5ce79c46-e60f-43dc-bdfe-f11985feb790.png,,Kurkure
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,482828.0,Haldiram's Takatak Chatpata Masala Stick,761768.0,22.0,25.0,True,30.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/02a26f91-4c2d-400c-84c3-1d33b222acb4.png,,Haldiram's
